DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2018/01/06 16:30:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,0.0,21.5,0.0,-24.859,-48.583,21.3
2018/01/06 16:30:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,0.0,21.1,0.0,-24.86,-48.587,27.8
2018/02/03 16:50:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,0.0,0.0,0.1,-24.727,-49.311,20.2
2018/02/05 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.1,-24.794,-49.178,40.5
2018/02/05 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.1,-24.791,-49.163,22.7
2018/02/05 16:40:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.1,-24.793,-49.184,26.7
2018/02/26 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,0.0,0.0,0.8,-24.963,-49.504,18.0
2018/02/26 17:00:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,0.0,0.0,0.3,-24.699,-49.289,11.7
2018/03/12 17:10:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,0.0,0.1,0.2,-25.14,-49.535,6.3
2018/04/06 17:05:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.1,-24.998,-49.345,6.0
2018/04/25 17:35:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,0.0,0.0,0.4,-25.232,-48.963,17.3
2018/04/29 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.7,-24.777,-49.442,34.3
2018/04/29 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.6,-24.778,-49.452,18.2
2018/04/29 17:10:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,0.0,0.0,0.5,-25.175,-49.334,8.5
2018/04/27 17:25:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.5,-24.806,-49.316,25.1
2018/04/27 17:25:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,0.0,0.0,0.5,-25.072,-49.374,11.9
2018/05/15 17:10:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,34.0,0.9,0.7,-24.962,-49.309,6.6
2018/05/15 17:10:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,3.0,0.4,0.5,-25.268,-49.144,18.9
2018/04/22 17:05:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,0.0,0.0,0.4,-24.731,-48.818,3.7
2018/04/24 16:55:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,0.0,0.0,0.4,-25.218,-49.013,14.6
2018/05/28 16:40:00,AQUA_M-T,Brasil,PARANÁ,DOUTOR ULYSSES,Mata Atlântica,3.0,0.0,0.7,-24.733,-49.302,14.3
2018/05/31 17:10:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,12.0,0.0,0.5,-25.199,-49.401,35.5
2018/05/29 17:25:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,10.0,0.0,0.6,-24.964,-49.311,11.9
2018/07/02 17:10:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,4.0,0.0,0.3,-24.826,-48.928,4.8
2018/06/25 17:05:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,9.0,0.0,0.5,-24.889,-49.269,5.8
2018/07/20 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,21.0,0.0,0.6,-25.077,-49.372,7.1
2018/07/20 17:00:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,20.0,0.0,0.6,-25.184,-49.414,20.6
2018/07/20 17:00:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,20.0,0.0,0.6,-25.185,-49.425,21.7
2018/07/20 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,21.0,0.0,0.6,-25.225,-49.222,20.9
2018/07/20 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,20.0,0.0,0.6,-25.227,-49.232,13.0
2018/07/18 17:10:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,18.0,0.0,0.6,-25.187,-48.983,5.0
2018/07/27 17:05:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,28.0,0.0,0.6,-25.222,-49.203,6.6
2018/07/27 17:05:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,28.0,0.0,0.6,-25.231,-49.202,5.0
2018/07/27 17:05:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.7,-24.769,-49.373,3.2
2018/07/27 17:05:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.6,-24.942,-49.301,4.4
2018/07/27 17:05:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,23.0,0.0,0.6,-25.191,-48.986,6.4
2018/08/21 17:00:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,9.0,0.4,0.5,-25.224,-49.236,10.1
2018/08/19 17:10:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.0,0.5,-24.977,-49.444,5.5
2018/08/19 17:10:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.0,0.5,-25.041,-49.433,5.2
2018/08/07 16:45:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.0,-24.8,-49.169,8.5
2018/08/07 16:45:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,0.0,0.0,0.1,-24.961,-49.387,7.7
2018/08/07 16:45:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,0.0,0.0,0.3,-24.963,-49.402,14.5
2018/08/07 16:45:00,AQUA_M-T,Brasil,PARANÁ,ITAPERUÇU,Mata Atlântica,0.0,0.0,0.1,-25.244,-49.368,8.0
2018/08/10 17:15:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,0.0,0.0,0.1,-25.229,-48.983,23.6
2018/08/12 17:05:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.0,0.2,-25.053,-49.483,10.3
2018/08/12 17:05:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.0,0.8,-25.055,-49.493,8.5
2018/08/12 17:05:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,3.0,0.0,0.2,-24.93,-49.385,9.2
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,CERRO AZUL,Mata Atlântica,5.0,0.0,0.3,-25.049,-49.143,6.4
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,BOCAIÚVA DO SUL,Mata Atlântica,5.0,0.0,0.3,-25.071,-48.836,7.1
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-25.223,-49.241,14.9
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-25.225,-49.247,36.1
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-25.225,-49.254,33.3
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-25.226,-49.259,12.1
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,ADRIANÓPOLIS,Mata Atlântica,5.0,0.0,0.3,-24.844,-48.569,9.1
2018/08/14 16:55:00,AQUA_M-T,Brasil,PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,5.0,0.0,0.4,-25.005,-49.446,10.4
