parcela_co,rt,art,situacao_i,codigo_imo,data_submi,data_aprov,status,nome_area,registro_m,registro_d,municipio_,uf_id
6de8554f-a301-4cbc-828d-6f493ac994f5,DREX,1720233550635-PR,REGISTRADA,7060350401936,2023-07-10,2023-07-10,REGISTRADA,FAZENDA BELA VISTA III - FAZ. BELA VISTA III,40233,2024-02-20,4104659,41
6d9c2b21-287f-4d91-921c-200b6ac64ffc,JJUS,1720236028050-PR,REGISTRADA,9510647208879,2024-01-08,2024-01-08,REGISTRADA,FAZENDA ROSA FLOR ? GLEBA 1 - Parcela 1,19629,2024-02-21,4102703,41
4da27e60-8649-48a8-b2a5-2a941ce5d5f1,JJUS,1720236028050-PR,REGISTRADA,9510647208879,2024-01-08,2024-01-08,REGISTRADA,FAZENDA ROSA FLOR ? GLEBA 1 - Parcela 1,19630,2024-02-21,4102703,41
393b87b4-a734-4230-94e8-dcb96440ba35,FQNI,1720240841810-PR,REGISTRADA,7211900973655,2024-02-21,2024-02-21,CERTIFICADA,Lotes Rurais n°s 42.B e 43.B - Parcela 1,28497,,4127700,41
07aaff40-897b-4f13-96b0-616f79dac598,DREX,1720233552301-PR,REGISTRADA,7060350276007,2023-07-10,2023-07-10,REGISTRADA,FAZENDA ALGIBEIRA - FAZ. ALGIBEIRA,40247,2024-02-22,4104659,41
9b16b82e-c4c7-468a-b156-698bc8a95d61,BE4,1720233008270-PR,REGISTRADA,7170880438504,2023-06-14,2023-06-14,REGISTRADA,"SITIO SÃO FRANCISCO - LOTE nº 55-B, 55-D e 55-E - GLEBA PINDAÚVA SECÇÃO C - 3ª PARTE - FAIXA DE DOMÍNIO DA RODOVIA PRC-466",49.904,2024-02-24,4111506,41
ed296c56-e702-4da8-9f15-a3058a28add2,BE4,1720233008270-PR,REGISTRADA,7170880438504,2023-06-14,2023-06-14,REGISTRADA,"SITIO SÃO FRANCISCO - LOTE nº 55-B, 55-D e 55-E - GLEBA PINDAÚVA SECÇÃO C - 3ª PARTE - LOTE 55-B 55-D e 55-E - REM",49.905,2024-02-24,4111506,41
8dc92375-e4e5-4513-a6a7-d92c33587c9a,HCAN,1720240970512-PR,REGISTRADA,7060190135878,2024-02-26,2024-02-26,CERTIFICADA,Fazenda Gruno - Boqueirao - Matrícula 6475,6475,,4104659,41
00019a97-ebc2-46b4-873d-491ebc29f14d,JJUS,1720236028263-PR,REGISTRADA,9510647216111,2024-01-08,2024-01-08,REGISTRADA,Sítio Rosa Flor III ? Gleba 3 - Parcela 1,19633,2024-02-26,4102703,41
f186f35d-f0b1-4496-b061-5c990be61947,HCAN,1720240970512-PR,REGISTRADA,7060190135878,2024-02-26,2024-02-26,CERTIFICADA,Fazenda Gruno - Denominado gleba nº 3 - Matrícula 9894,9894,,4104659,41
8cc258a2-3aec-41f2-b0a6-ba36b661e7ed,HCAN,1720240970512-PR,REGISTRADA,7060190135878,2025-04-24,2024-02-26,CERTIFICADA,Fazenda Gruno - Boqueirao - Matrícula 22200,22200,,4104659,41
777cc585-7ae7-4047-99de-131cac3889f3,VGGP,BR20240403763-PR,REGISTRADA,9500417793858,2024-03-13,2024-03-13,CERTIFICADA,Sitio Esperança - Gleba E,6764;6625,,4107009,41
523016dc-39a0-4a06-a544-95dd628f2811,MSSM,1720236744635-PR,REGISTRADA,7211900837123,2023-12-19,2023-12-19,REGISTRADA,"Lote Rural n° 14.A.3, da Linha Guaçu, do 9° Per. Faz. Britânia - Parte 1",62346,2024-03-19,4127700,41
85f2ee6c-0cef-44e7-b15a-f4f836f1d27f,MSSM,1720236744635-PR,REGISTRADA,7211900837123,2023-12-19,2023-12-19,REGISTRADA,"Lote Rural n° 14.A.2, da Linha Guaçu, do 9° Per. Faz. Britânia - Parte 1",62345,2024-03-19,4127700,41
a9b23309-4e64-44c7-b905-ebb528d30da0,VGGP,BR20240307791-PR,REGISTRADA,9500417793858,2024-03-20,2024-03-20,CERTIFICADA,Sitio Esperança - Gleba C,3960;8061,,4107009,41
672f629d-fdba-498c-a8e5-839e0bc93317,VGGP,BR20240307901 -PR,REGISTRADA,9500417793858,2024-03-20,2024-03-20,CERTIFICADA,Sitio Esperança - Gleba D,11586,,4107009,41
21bb11a2-53ba-4dd6-834b-376ac0da1f0b,E9E,20192251752-PR,REGISTRADA,7060270275450,2019-06-13,2019-06-13,REGISTRADA,FAZENDA DAS PALMEIRAS III - Parcela 1,36921,2024-03-20,4104659,41
6564f7d8-40b1-48a6-b8be-063b39274339,E9E,20192152797-PR,REGISTRADA,7060190222924,2019-06-18,2019-06-18,REGISTRADA,FAZENDA DAS PALMEIRAS I - Parcela 1,36920,2024-03-20,4104659,41
2acd2128-a896-456a-87a7-e592b8666d10,MMFI,20150689480-PR,REGISTRADA,7170880441645,2017-05-18,2017-05-18,CERTIFICADA,FAZENDA SANTA ALICE 2 - Única,37819,,4111506,41
7224df60-78f2-4f6c-ada1-85e1471073c7,MMFI,20150689480-PR,REGISTRADA,7170880441645,2017-05-18,2017-05-18,CERTIFICADA,FAZENDA SANTA ALICE 2 - Única,37829,,4111506,41
fe607ae3-a911-4ff0-a40a-0825071416c0,MSSM,1720234719960-PR,REGISTRADA,7211900861180,2023-09-12,2023-09-12,REGISTRADA,Lote Rural nº 21.A.1/22.A.1/23.A/24.A.1.A - Parte 1,60021,2024-03-21,4127700,41
20bc9fab-180d-45c0-9d7a-b244c64ed6a7,YOWT,1720241587119-PR,REGISTRADA,7060190389896,2024-03-21,2024-03-21,CERTIFICADA,FAZENDA VALE DO JUTUVA XIII   - Parcela 1,6197,,4104659,41
c4459552-92e1-4589-a448-ed694ee73bb7,MTUB,1720241053840-PR,REGISTRADA,7120190049443,2024-03-22,2024-03-22,CERTIFICADA,SÍTIO MACUCO - Parcela 1,5259,,4100103,41
e1d809f5-17df-49b5-bcfd-bfd4e979b5aa,CHD,20170525700-PR,REGISTRADA,7060190230277,2017-05-31,2017-05-31,CERTIFICADA,FAZENDA SÃO DANIEL - Parte 1,26508,,4104659,41
071821a5-76ac-48d1-8d4d-2058446bf41b,CHD,20170525700-PR,REGISTRADA,7060190230277,2017-05-31,2017-05-31,CERTIFICADA,FAZENDA SÃO DANIEL - Parte 2,26508,,4104659,41
5f05a38e-e681-47cd-9192-9f39a5a6c36b,MSSM,1720240799856-PR,REGISTRADA,7171851052016,2024-03-05,2024-03-05,CERTIFICADA,"Lote Rural nº 47-A. - 1, Linha Guaçu, 6º Per. Fazenda Britânia",85404,,4127700,41
b9e7da9e-d8fb-4b46-b291-f29438abca2c,MSSM,1720240799856-PR,REGISTRADA,7171851052016,2024-03-05,2024-03-05,CERTIFICADA,"Lote Rural nº 47-A. - 2, Linha Guaçu, 6º Per. Fazenda Britânia",85404,,4127700,41
ee376a91-fbff-4d80-bda5-2fffe57a7565,HCAN,1720240802300-PR,REGISTRADA,9999978982794,2024-02-15,2024-03-12,CERTIFICADA,"""Rincão dos Buracos  - Fazenda São João - Matrícula 11910",11910,,4104659,41
abee3745-53c3-40b2-a42c-b2bc2ce6b23f,B01,1720241170030-PR,REGISTRADA,7211900065210,2024-03-01,2024-03-12,CERTIFICADA,"Lote Rural Nº114, da linha Guaçú-8ºPerímetro da Fazenda Britânia - Matrícula 40375",40375,,4127700,41
a5d97b21-bba9-479e-96d6-fa272bee4cd7,VGGP,BR20240403749-PR,REGISTRADA,9500417793858,2024-03-13,2024-03-13,CERTIFICADA,Sitio Esperança - Gleba A,6249;2001;5520;4026,,4107009,41
2f7e436d-8a98-4025-b95c-670d6ee57ee2,VGGP,BR20240305172-PR,REGISTRADA,9500417793858,2024-03-13,2024-03-13,CERTIFICADA,Sitio Esperança - Gleba B,1409,,4107009,41
2b21c39d-dac8-4225-877b-4a58053fa526,TPXW,CFT2403308978-PR,REGISTRADA,7211900663540,2024-05-03,2024-05-03,CERTIFICADA,LOTE RURAL Nº 78 - Parte 1,1056,,4127700,41
f50e3980-498c-4046-b24b-50e3eed7bd3f,D0A,1720240311187-PR,REGISTRADA,9511535608200,2023-07-28,2023-07-28,REGISTRADA,Sitio Santa Efigênia - Parte 1,16.295,2024-03-26,4100103,41
757d70c8-45f2-4536-9a05-7df586873e64,HCAN,1720242200749-PR,REGISTRADA,7060270272272,2024-04-25,2024-04-25,CERTIFICADA,Granja Ilha - Matrícula 27425,27425,,4104659,41
9622c586-4d5e-4c97-9885-c07254201a04,CQI,1720226878418-PR,REGISTRADA,7211900520197,2023-02-20,2023-02-20,REGISTRADA,"Lote rural nº. 60-A, da Gleba nº. 01, 1ª Parte da Colônia São Francisco - Lote rural nº. 60-A, da Gleba nº. 01, 1ª Parte da Colônia São Francisco",26.103,2024-05-08,4127700,41
