numero_processo;classe;assuntos;municipio;data_ajuizamento;data_ajuizamento_hora;ultima_atualizacao;ultima_atualizacao_hora;formato;codigo;orgao_julgador
00010807420238160065;Ação Civil Pública;Área de Preservação Permanente;Cerro Azul;06/06/2023;13:58:06;;;{'codigo': 1, 'nome': 'Eletrônico'};00010807420238160065;CATANDUVAS - JUÍZO ÚNICO
00064393120158160147;Cumprimento de sentença;Área de Preservação Permanente;Rio Branco do Sul;08/12/2015;14:25:25;;;{'codigo': 1, 'nome': 'Eletrônico'};00064393120158160147;RIO BRANCO DO SUL - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL
00064419820158160147;Procedimento Comum Cível;Área de Preservação Permanente;Rio Branco do Sul;08/12/2015;15:14:48;;;{'codigo': 1, 'nome': 'Eletrônico'};00064419820158160147;RIO BRANCO DO SUL - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL
00025816320238160065;Procedimento Investigatório Criminal (PIC-MP) ;Flora, Poluição;Cerro Azul;29/11/2023;11:22:45;;;{'codigo': 1, 'nome': 'Eletrônico'};00025816320238160065;CATANDUVAS - JUÍZO ÚNICO
00020271820198160147;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;09/07/2019;19:10:08;;;{'codigo': 1, 'nome': 'Eletrônico'};00020271820198160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00008921320258160065;Representação Criminal/Notícia de Crime;Crimes contra o Meio Ambiente e o Patrimônio Genético;Cerro Azul;15/04/2025;18:21:41;;;{'codigo': 1, 'nome': 'Eletrônico'};00008921320258160065;CATANDUVAS - JUÍZO ÚNICO
00006345320228160147;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;11/03/2022;10:41:38;;;{'codigo': 1, 'nome': 'Eletrônico'};00006345320228160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00030457420198160147;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;05/10/2019;14:59:07;;;{'codigo': 1, 'nome': 'Eletrônico'};00030457420198160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00034931320208160147;Termo Circunstanciado;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;20/12/2020;18:10:20;;;{'codigo': 1, 'nome': 'Eletrônico'};00034931320208160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
00022644720228160147;Ação Penal - Procedimento Sumaríssimo;Crimes contra o Meio Ambiente e o Patrimônio Genético;Rio Branco do Sul;21/07/2022;12:33:26;;;{'codigo': 1, 'nome': 'Eletrônico'};00022644720228160147;RIO BRANCO DO SUL - JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA
